commodity_code,commodity_description,duty_expression,standardised_commodity_code
2710122119,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
- - Light oils and preparations
- - - For other purposes
- - - - Special spirits
- - - - - White spirit
- - - - - - Blends with gasoline with an ethyl alcohol content of more than 10 % (v/v)
- - - - - - - For other uses than for fuel",0.0%,2710122119
2710122500,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Light oils and preparations
-	-	-	For other purposes
-	-	-	-	Special spirits
-	-	-	-	-	Other
					-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
					-	for fitting to or equipping such ships, boats or other vessels;
					-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
					-	for equipping the above platforms;
					-	for linking these drilling or production platforms to the mainland",0.0%,2710122500
2710122510,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Light oils and preparations
For other purposes
Special spirits
Other
Containing ethyl alcohol produced from agricultural products (as listed in Annex I to the Treaty on the Functioning of the European Union)
• for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
• for fitting to or equipping such ships, boats or other vessels;
• for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below:
   fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
• for equipping the above platforms;
• for linking these drilling or production platforms to the mainland",0.0%,2710122510
2710122520,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Light oils and preparations
For other purposes
Special spirits
Other
Mixture of C6 aliphatic hydrocarbons (CAS RN 92112-69-1), containing by weight 60 % or more but not more than 80 % of n-hexane (CAS RN 110-54-3), with:
-a specific gravity of 0,666 or more but not more than 0,686,
-a total of carbonyl compounds of less than 1 ppm,
-a total of acetylenic compounds of less than 2 ppm
• for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
• for fitting to or equipping such ships, boats or other vessels;
• for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below:
   fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
• for equipping the above platforms;
• for linking these drilling or production platforms to the mainland",0.0%,2710122520
2710122590,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Light oils and preparations
For other purposes
Special spirits
Other
Other
• for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
• for fitting to or equipping such ships, boats or other vessels;
• for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below:
   fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
• for equipping the above platforms;
• for linking these drilling or production platforms to the mainland",0.0%,2710122590
2710122598,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
- - Light oils and preparations
- - - For other purposes
- - - - Special spirits
- - - - - Other
- - - - - - Blends with gasoline with an ethyl alcohol content of more than 10 % (v/v)
- - - - - - - For other uses than for fuel",0.0%,2710122598
2710123119,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
- - Light oils and preparations
- - - For other purposes
- - - - Other
- - - - - Motor spirit
- - - - - - Aviation spirit
- - - - - - - Blends with gasoline with an ethyl alcohol content of more than 10 % (v/v)
- - - - - - - - For other uses than for fuel",0.0%,2710123119
2710124100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Light oils and preparations
-	-	-	For other purposes
-	-	-	-	Other
-	-	-	-	-	Motor spirit
-	-	-	-	-	-	Other, with a lead content",0.0%,2710124100
2710124119,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
- - Light oils and preparations
- - - For other purposes
- - - - Other
- - - - - Motor spirit
- - - - - - Other, with a lead content
- - - - - - - Not exceeding 0.013 g per litre
- - - - - - - - With an octane number (RON) of less than 95
- - - - - - - - - Blends with gasoline with an ethyl alcohol content of more than 10 % (v/v)",0.0%,2710124119
2710124500,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Light oils and preparations
-	-	-	For other purposes
-	-	-	-	Other
-	-	-	-	-	Motor spirit
-	-	-	-	-	-	Other, with a lead content",0.0%,2710124500
2710124519,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
- - Light oils and preparations
- - - For other purposes
- - - - Other
- - - - - Motor spirit
- - - - - - Other, with a lead content
- - - - - - - Not exceeding 0.013 g per litre
- - - - - - - - With an octane number (RON) of 95 or more but less than 98
- - - - - - - - - Blends with gasoline with an ethyl alcohol content of more than 10 % (v/v)",0.0%,2710124519
2710124900,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Light oils and preparations
-	-	-	For other purposes
-	-	-	-	Other
-	-	-	-	-	Motor spirit
-	-	-	-	-	-	Other, with a lead content",0.0%,2710124900
27101249919,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
- - Light oils and preparations
- - - For other purposes
- - - - Other
- - - - - Motor spirit
- - - - - - Other, with a lead content
- - - - - - - Not exceeding 0.013 g per litre
- - - - - - - - With an octane number (RON) of 98 or more
- - - - - - - - - Blends with gasoline with an ethyl alcohol content of more than 10 % (v/v)",0.0%,27101249919
2710125000,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Light oils and preparations
-	-	-	For other purposes
-	-	-	-	Other
-	-	-	-	-	Motor spirit
-	-	-	-	-	-	Other, with a lead content",0.0%,2710125000
2710125019,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
- - Light oils and preparations
- - - For other purposes
- - - - Other
- - - - - Motor spirit
- - - - - - Other, with a lead content
- - - - - - - Exceeding 0.013 g per litre
- - - - - - - - Blends with gasoline with an ethyl alcohol content of more than 10 % (v/v)
- - - - - - - - - For other uses than for fuel",0.0%,2710125019
2710127019,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
- - Light oils and preparations
- - - For other purposes
- - - - Other
- - - - - Spirit type jet fuel
- - - - - - Blends with gasoline with an ethyl alcohol content of more than 10 % (v/v)
- - - - - - - For other uses than for fuel",0.0%,2710127019
2710129000,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Light oils and preparations
-	-	-	For other purposes
-	-	-	-	Other
-	-	-	-	-	Other light oils
					-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
					-	for fitting to or equipping such ships, boats or other vessels;
					-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
					-	for equipping the above platforms;
					-	for linking these drilling or production platforms to the mainland",0.0%,2710129000
2710129019,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
- Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
- - Light oils and preparations
- - - For other purposes
- - - - Other
- - - - - Other light oils
- - - - - - Blends with gasoline with an ethyl alcohol content of more than 10 % (v/v)
- - - - - - - For other uses than for fuel",0.0%,2710129019
2710191100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Medium oils
For undergoing a specific process",0.0%,2710191100
2710191100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Medium oils
For undergoing a specific process
• for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
• for fitting to or equipping such ships, boats or other vessels;
• for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below:
   fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
• for equipping the above platforms;
• for linking these drilling or production platforms to the mainland",0.0%,2710191100
2710191500,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Medium oils
For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 19 11",0.0%,2710191500
2710192500,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Medium oils
-	-	-	-	For other purposes
-	-	-	-	-	Kerosene
-	-	-	-	-	-	Other",0.0%,2710192500
2710192900,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Medium oils
-	-	-	-	For other purposes
-	-	-	-	-	Other
					-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
					-	for fitting to or equipping such ships, boats or other vessels;
					-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
					-	for equipping the above platforms;
					-	for linking these drilling or production platforms to the mainland",0.0%,2710192900
2710193100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Heavy oils
Gas oils
For undergoing a specific process",0.0%,2710193100
2710193100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Heavy oils
Gas oils
For undergoing a specific process
• for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
• for fitting to or equipping such ships, boats or other vessels;
• for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below:
   fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
• for equipping the above platforms;
• for linking these drilling or production platforms to the mainland",0.0%,2710193100
2710193500,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Heavy oils
Gas oils
For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 19 31",0.0%,2710193500
2710194300,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Heavy oils
-	-	-	-	Gas oils
-	-	-	-	-	For other purposes
-	-	-	-	-	-	With a sulphur content not exceeding 0.001% by weight",0.0%,2710194300
2710194600,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Heavy oils
-	-	-	-	Gas oils
-	-	-	-	-	For other purposes
-	-	-	-	-	-	With a sulphur content exceeding 0.001% by weight but not exceeding 0.002% by weight",0.0%,2710194600
2710194700,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Heavy oils
-	-	-	-	Gas oils
-	-	-	-	-	For other purposes
-	-	-	-	-	-	With a sulphur content exceeding 0.002% by weight but not exceeding 0.1% by weight",0.0%,2710194700
2710194800,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Heavy oils
-	-	-	-	Gas oils
-	-	-	-	-	For other purposes
-	-	-	-	-	-	With a sulphur content exceeding 0,1% by weight",0.0%,2710194800
2710195100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Heavy oils
Fuel oils
For undergoing a specific process",0.0%,2710195100
2710195100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Heavy oils
Fuel oils
For undergoing a specific process
• for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
• for fitting to or equipping such ships, boats or other vessels;
• for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below:
   fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
• for equipping the above platforms;
• for linking these drilling or production platforms to the mainland",0.0%,2710195100
2710195500,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Heavy oils
Fuel oils
For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 19 51",0.0%,2710195500
2710196200,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Heavy oils
-	-	-	-	Fuel oils
-	-	-	-	-	For other purposes
-	-	-	-	-	-	With a sulphur content not exceeding 0.1% by weight",0.0%,2710196200
2710196400,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Heavy oils
-	-	-	-	Fuel oils
-	-	-	-	-	For other purposes
-	-	-	-	-	-	With a sulphur content exceeding 0,1% by weight but not exceeding 1% by weight",0.0%,2710196400
2710196800,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Heavy oils
-	-	-	-	Fuel oils
-	-	-	-	-	For other purposes
-	-	-	-	-	-	With a sulphur content exceeding 1% by weight",0.0%,2710196800
2710197100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Heavy oils
Lubricating oils; other oils
For undergoing a specific process",0.0%,2710197100
2710197100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Heavy oils
Lubricating oils; other oils
For undergoing a specific process
• for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
• for fitting to or equipping such ships, boats or other vessels;
• for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below:
   fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
• for equipping the above platforms;
• for linking these drilling or production platforms to the mainland",0.0%,2710197100
2710197500,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
Other
Heavy oils
Lubricating oils; other oils
For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 19 71",0.0%,2710197500
2710198100,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Heavy oils
-	-	-	-	Lubricating oils; other oils
-	-	-	-	-	For other purposes
-	-	-	-	-	-	Motor oils, compressor lube oils, turbine lube oils",0.0%,2710198100
2710198300,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils
-	Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils
-	-	Other
-	-	-	Heavy oils
-	-	-	-	Lubricating oils; other oils
-	-	-	-	-	For other purposes
-	-	-	-	-	-	Hydraulic oils",0.0%,2710198300
